,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score_phrase,score,editors_choice,release_year,release_month,release_day
11,Mario Party 8,Wii,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Mediocre,5.2,N,2007,5,29
12,The Sims 3,PC,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,Great,8.9,Y,2009,6,1
13,Mario & Sonic at the Olympic Games,Wii,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Good,7.9,N,2007,11,6
14,Super Mario Galaxy 2,Wii,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Masterpiece,10.0,Y,2010,5,20
15,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,Amazing,9.5,Y,2006,11,17
16,Just Dance,Wii,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,Painful,2.0,N,2009,12,3
17,Donkey Kong Country Returns,Wii,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,Amazing,9.0,Y,2010,11,19
18,World of Warcraft,PC,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,Amazing,9.1,Y,2004,12,10
19,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,Great,8.0,N,2007,11,9
20,Diablo III,PC,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Amazing,9.5,Y,2012,5,14
21,Link's Crossbow Training,Wii,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,Good,7.0,N,2007,11,20
22,Animal Crossing: City Folk,Wii,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,Good,7.5,N,2008,11,16
23,Guitar Hero III: Legends of Rock,Wii,Misc,Activision,3.06,1.12,0.0,0.44,4.62,Great,8.6,Y,2007,10,29
24,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,1.89,1.99,0.22,0.48,4.58,Okay,6.5,N,2009,10,14
25,Michael Jackson: The Experience,Wii,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42,Awful,3.5,N,2010,12,2
26,Excitebike,NES,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,Great,8.4,N,2007,3,21
27,Half-Life,PC,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,Amazing,9.5,Y,1998,11,25
28,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,Masterpiece,10.0,Y,2011,11,11
29,Carnival Games,Wii,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,Okay,6.5,N,2007,9,17
30,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,Great,8.8,Y,2007,1,30
31,EA Sports Active,Wii,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,Good,7.8,N,2009,5,26
32,The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,Amazing,9.5,Y,2011,11,10
33,Big Brain Academy: Wii Degree,Wii,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82,Good,7.6,N,2007,6,8
34,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,Sega,1.14,1.91,0.27,0.46,3.78,Good,7.5,N,2011,11,23
35,Just Dance 2014,Wii,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76,Good,7.7,N,2013,10,11
36,The Sims: Unleashed,PC,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,Good,7.0,N,2002,10,3
37,Super Paper Mario,Wii,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76,Great,8.9,Y,2007,4,5
38,Mario Party 9,Wii,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32,Good,7.0,N,2012,3,9
39,Wii Music,Wii,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27,Mediocre,5.0,N,2008,10,17
40,Baseball,NES,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,Mediocre,5.5,N,2007,1,16
41,LEGO Batman: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17,Good,7.7,N,2008,9,23
42,The Sims: Vacation,PC,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07,Great,8.0,N,2002,4,8
43,The Sims 4,PC,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97,Good,7.5,N,2014,9,2
44,Star Wars: The Old Republic,PC,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97,Amazing,9.0,Y,2013,4,21
45,Cooking Mama: Cook Off,Wii,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91,Mediocre,5.8,N,2007,3,20
46,Battlefield 3,PC,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79,Amazing,9.0,Y,2011,10,24
47,Sonic and the Secret Rings,Wii,Platform,Sega,1.24,1.2,0.04,0.3,2.77,Okay,6.9,N,2007,2,20
48,Metroid,NES,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,Great,8.0,N,2007,8,13
49,Skylanders Giants,Wii,Action,Activision,1.56,0.88,0.0,0.22,2.65,Great,8.0,N,2012,10,18
50,Mario Strikers Charged,Wii,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62,Great,8.3,Y,2007,7,27
51,Deca Sports,Wii,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54,Bad,4.5,N,2008,6,5
52,Game Party,Wii,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52,Awful,3.2,N,2007,12,12
53,LEGO Harry Potter: Years 1-4,Wii,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0.0,0.23,2.49,Great,8.5,Y,2010,6,29
54,Ice Hockey,NES,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,Good,7.0,N,2006,12,12
55,LEGO Indiana Jones: The Original Adventures,Wii,Action,LucasArts,1.54,0.63,0.0,0.22,2.39,Great,8.0,N,2008,5,29
56,Half-Life 2,PC,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,Amazing,9.7,Y,2004,11,15
57,My Fitness Coach,Wii,Sports,Ubisoft,1.2,0.9,0.0,0.24,2.34,Good,7.2,N,2009,1,12
58,Guild Wars 2,PC,Action,NCSoft,0.95,1.06,0.0,0.29,2.3,Amazing,9.0,Y,2012,9,11
59,Mario Bros.,NES,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,Bad,4.5,N,2006,12,8
60,Super Monkey Ball: Banana Blitz,Wii,Misc,Sega,1.07,0.92,0.04,0.24,2.27,Great,8.4,Y,2006,11,14
61,Call of Duty 3,Wii,Shooter,Activision,1.19,0.84,0.0,0.23,2.26,Good,7.7,N,2006,11,14
62,Monster Hunter Tri,Wii,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25,Great,8.8,Y,2010,4,14
63,Sonic Unleashed,Wii,Platform,Sega,1.28,0.68,0.02,0.21,2.2,Good,7.2,N,2008,11,18
64,The Sims: House Party,PC,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,Good,7.0,N,2001,3,30
65,Mario Sports Mix,Wii,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11,Okay,6.5,N,2011,2,7
66,World of Warcraft: Cataclysm,PC,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,Amazing,9.0,Y,2010,12,22
67,Dance Dance Revolution: Hottest Party,Wii,Simulation,Konami Digital Entertainment,1.36,0.52,0.0,0.2,2.08,Good,7.0,N,2008,1,28
68,Sim Theme Park,PC,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,Great,8.4,N,1999,11,19
69,Call of Duty: World at War,Wii,Shooter,Activision,1.2,0.59,0.0,0.19,1.97,Great,8.0,N,2008,11,11
70,Mario Super Sluggers,Wii,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93,Good,7.4,N,2008,8,26
71,Monopoly,Wii,Misc,Electronic Arts,0.87,0.85,0.0,0.2,1.92,Good,7.0,N,2008,11,11
72,The Sims: Makin' Magic,PC,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,Great,8.2,N,2003,10,29
73,Star Wars: The Force Unleashed,Wii,Action,LucasArts,1.14,0.57,0.0,0.19,1.91,Good,7.8,N,2008,9,15
74,Game Party 2,Wii,Misc,Midway Games,1.3,0.44,0.0,0.17,1.91,Awful,3.0,N,2008,12,19
75,LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,1.08,0.66,0.0,0.17,1.91,Good,7.0,N,2011,3,22
76,Rayman Raving Rabbids 2,Wii,Misc,Ubisoft,0.83,0.82,0.0,0.2,1.85,Okay,6.3,N,2007,11,13
77,World of Warcraft: Mists of Pandaria,PC,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,Great,8.7,Y,2012,10,4
78,The Sims: Hot Date,PC,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,Great,8.4,N,2001,12,6
79,Metroid Prime 3: Corruption,Wii,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82,Amazing,9.5,Y,2007,8,27
80,Kid Icarus,NES,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,Good,7.0,N,2007,3,6
81,Kirby's Adventure,NES,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75,Amazing,9.5,Y,2007,2,20
82,The Beatles: Rock Band,Wii,Misc,MTV Games,1.19,0.4,0.0,0.16,1.74,Amazing,9.0,Y,2009,9,5
83,Sonic Colors,Wii,Platform,Sega,0.96,0.61,0.01,0.16,1.74,Great,8.5,Y,2010,11,8
84,Disney Infinity,Wii,Action,Disney Interactive Studios,1.15,0.44,0.0,0.14,1.73,Great,8.7,N,2013,8,18
85,Call of Duty: Modern Warfare 3,PC,Shooter,Activision,0.41,0.98,0.0,0.33,1.72,Amazing,9.0,Y,2011,11,9
86,Game Party 3,Wii,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0.0,0.12,1.71,Painful,2.5,N,2009,10,20
87,Cabela's Big Game Hunter 2010,Wii,Sports,Activision Value,1.58,0.0,0.0,0.12,1.7,Mediocre,5.5,N,2009,10,30
88,We Ski,Wii,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7,Okay,6.0,N,2008,5,20
89,Sid Meier's Civilization V,PC,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69,Amazing,9.0,Y,2010,9,20
90,The Sims: Superstar,PC,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68,Great,8.3,N,2003,6,6
91,MySims,Wii,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68,Good,7.0,N,2007,9,18
92,Shaun White Snowboarding: Road Trip,Wii,Sports,Ubisoft,0.94,0.57,0.0,0.17,1.67,Great,8.4,N,2008,11,14
93,Big Beach Sports,Wii,Sports,THQ,0.45,1.02,0.0,0.2,1.67,Painful,2.5,N,2008,8,19
94,StarCraft II: Heart of the Swarm,PC,Strategy,Activision,0.82,0.65,0.0,0.19,1.67,Great,8.6,N,2013,3,19
95,Go Vacation,Wii,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65,Good,7.0,N,2011,10,13
96,LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,0.76,0.72,0.0,0.16,1.64,Good,7.5,N,2011,5,11
97,Call of Duty: Black Ops,PC,Shooter,Activision,0.58,0.81,0.0,0.24,1.63,Great,8.5,Y,2010,11,10
98,Pokemon Battle Revolution,Wii,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61,Mediocre,5.0,N,2007,6,27
99,Guitar Hero 5,Wii,Misc,Activision,0.94,0.49,0.0,0.15,1.58,Amazing,9.3,Y,2009,9,1
100,Command & Conquer: Tiberian Sun,PC,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55,Great,8.0,N,1999,9,3
101,Resident Evil: The Umbrella Chronicles,Wii,Action,Capcom,0.68,0.43,0.29,0.14,1.54,Good,7.9,N,2007,11,13
102,Warcraft III: The Frozen Throne,PC,Strategy,Activision,0.58,0.87,0.0,0.09,1.54,Amazing,9.0,Y,2003,7,1
103,Call of Duty: Black Ops II,PC,Shooter,Activision,0.63,0.69,0.0,0.21,1.53,Amazing,9.3,Y,2012,11,13
104,MySims Kingdom,Wii,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53,Good,7.3,N,2008,11,21
105,Football Manager 2012,PC,Sports,Sega,0.02,1.16,0.0,0.34,1.51,Amazing,9.0,Y,2011,10,17
106,Ice Climber,NES,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5,Okay,6.5,N,2007,3,6
107,Disney Sing It: Pop Hits,Wii,Misc,Disney Interactive Studios,1.08,0.28,0.0,0.13,1.49,Okay,6.8,N,2009,10,23
108,New Play Control! Mario Power Tennis,Wii,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48,Mediocre,5.8,N,2009,3,10
109,The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,0.78,0.5,0.03,0.15,1.47,Okay,6.0,N,2008,3,11
110,LEGO Batman 2: DC Super Heroes,Wii,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0.0,0.11,1.46,Great,8.0,N,2012,6,18
111,Anno 2070,PC,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45,Great,8.5,Y,2011,12,2
112,Smarty Pants,Wii,Misc,Electronic Arts,0.53,0.76,0.0,0.16,1.45,Good,7.0,N,2007,11,13
113,Hasbro Family Game Night,Wii,Puzzle,Electronic Arts,0.97,0.34,0.0,0.13,1.45,Good,7.0,N,2008,12,3
114,Rayman Raving Rabbids,Wii,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44,Great,8.3,Y,2006,11,16
115,LEGO Indiana Jones 2: The Adventure Continues,Wii,Action,Activision,0.91,0.39,0.0,0.13,1.43,Okay,6.0,N,2009,11,18
116,Tiger Woods PGA Tour 09 All-Play,Wii,Sports,Electronic Arts,0.81,0.48,0.0,0.14,1.43,Great,8.3,Y,2008,8,27
117,Toy Story 3: The Video Game,Wii,Action,Disney Interactive Studios,0.64,0.63,0.0,0.14,1.41,Good,7.5,N,2010,6,24
118,Metroid: Other M,Wii,Action,Nintendo,0.87,0.31,0.13,0.1,1.41,Great,8.5,Y,2010,8,27
119,Call of Duty: Black Ops,Wii,Shooter,Activision,0.82,0.47,0.0,0.12,1.4,Good,7.5,N,2010,11,11
120,Battlefield 4,PC,Shooter,Electronic Arts,0.38,0.86,0.0,0.16,1.4,Great,8.5,N,2013,10,29
121,Hannah Montana: Spotlight World Tour,Wii,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.39,Mediocre,5.6,N,2007,11,26
122,Hasbro Family Game Night 2,Wii,Misc,Electronic Arts,0.71,0.53,0.0,0.13,1.38,Good,7.1,N,2009,11,3
123,Disney Princess: Enchanted Journey,Wii,Adventure,Disney Interactive Studios,1.24,0.04,0.0,0.09,1.38,Bad,4.0,N,2008,1,22
124,Disney Princess: Enchanted Journey,Wii,Adventure,Disney Interactive Studios,1.24,0.04,0.0,0.09,1.38,Bad,4.0,N,2008,1,22
125,Gradius,NES,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36,Good,7.0,N,2007,1,9
126,LEGO Harry Potter: Years 5-7,Wii,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0.0,0.13,1.36,Great,8.0,N,2011,11,18
127,Command & Conquer: Red Alert 2,PC,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,Amazing,9.3,Y,2000,10,24
128,World of Warcraft: Wrath of the Lich King,PC,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,Amazing,9.0,Y,2008,11,26
129,Deal or No Deal,Wii,Misc,Zoo Games,1.22,0.0,0.0,0.09,1.31,Mediocre,5.5,N,2009,2,20
130,EA Playground,Wii,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3,Okay,6.6,N,2007,10,25
131,EA Sports Active 2,Wii,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3,Great,8.0,N,2010,12,10
132,Need for Speed Carbon,Wii,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29,Good,7.4,N,2006,12,5
133,Guitar Hero: Aerosmith,Wii,Misc,Activision,1.04,0.14,0.0,0.1,1.29,Good,7.6,N,2008,7,3
134,The Sims 2: Nightlife,PC,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,Great,8.2,N,2005,9,12
135,RollerCoaster Tycoon 2,PC,Strategy,Atari,1.19,0.05,0.0,0.0,1.25,Great,8.0,N,2002,10,4
136,Ben 10: Protector of Earth,Wii,Action,D3Publisher,0.55,0.55,0.0,0.13,1.23,Okay,6.8,N,2007,11,14
137,Castlevania,NES,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,Good,7.5,N,2007,4,30
138,Boom Blox,Wii,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23,Great,8.1,N,2008,5,6
139,Fallout 4,PC,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23,Amazing,9.5,Y,2015,11,9
140,The Sims 2: Castaway,Wii,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23,Good,7.5,N,2007,10,24
141,Pac-Man,NES,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,Okay,6.0,N,2007,5,14
142,PokéPark Wii: Pikachu's Adventure,Wii,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,Good,7.5,N,2010,11,2
143,Pro Evolution Soccer 2008,Wii,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,Great,8.6,Y,2008,3,17
144,Spore,PC,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17,Great,8.8,Y,2008,9,4
145,Wario Land: Shake It!,Wii,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,Great,8.4,Y,2008,9,19
146,Mega Man 3,NES,Platform,Capcom,0.68,0.1,0.39,0.0,1.17,Amazing,9.5,N,2008,11,10
147,Football Manager 2013,PC,Sports,Sega,0.0,0.95,0.0,0.22,1.17,Amazing,9.0,Y,2012,11,3
148,EA Sports Active: More Workouts,Wii,Sports,Electronic Arts,0.78,0.28,0.0,0.1,1.16,Great,8.0,N,2009,11,13
149,Fallout: New Vegas,PC,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16,Amazing,9.0,Y,2010,10,19
150,Worldwide Soccer Manager 2009,PC,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,Good,7.9,N,2008,12,18
151,Call of Duty 4: Modern Warfare,PC,Shooter,Activision,0.0,1.12,0.0,0.03,1.15,Amazing,9.4,Y,2007,11,5
152,Rabbids Go Home,Wii,Platform,Ubisoft,0.26,0.75,0.0,0.14,1.14,Great,8.5,Y,2009,11,3
153,Donkey Kong,NES,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,Bad,4.0,N,2006,12,1
154,Donkey Kong Jr.,NES,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,Mediocre,5.0,N,2006,12,6
155,Lode Runner,NES,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1,Awful,3.5,N,2007,6,11
156,NERF N-Strike,Wii,Shooter,Electronic Arts,0.92,0.09,0.0,0.09,1.1,Good,7.1,N,2008,12,11
157,Empire: Total War,PC,Strategy,Sega,0.01,0.97,0.0,0.11,1.09,Amazing,9.5,Y,2009,2,27
158,Tiger Woods PGA Tour 10,Wii,Sports,Electronic Arts,0.61,0.37,0.0,0.11,1.09,Amazing,9.0,Y,2009,6,9
159,Endless Ocean,Wii,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09,Great,8.0,N,2008,1,22
160,Grand Theft Auto V,PC,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08,Masterpiece,10.0,Y,2015,4,14
161,The Biggest Loser,Wii,Sports,THQ,0.87,0.12,0.0,0.09,1.08,Good,7.7,N,2009,10,27
162,Resident Evil: The Darkside Chronicles,Wii,Action,Capcom,0.48,0.32,0.2,0.09,1.08,Great,8.1,N,2009,11,13
163,FIFA Soccer 11,Wii,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08,Okay,6.5,N,2010,10,11
164,Diablo II: Lord of Destruction,PC,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,Great,8.8,Y,2001,7,5
165,Adventure Island,NES,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,Mediocre,5.5,N,2007,9,17
166,MySims Agents,Wii,Adventure,Electronic Arts,0.62,0.32,0.0,0.1,1.05,Good,7.8,N,2009,9,25
167,Guinness World Records: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04,Good,7.0,N,2008,11,20
168,Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,0.33,0.37,0.26,0.09,1.04,Great,8.0,N,2007,12,11
169,Tiger Woods PGA Tour 08,Wii,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03,Good,7.1,N,2007,8,28
170,The Simpsons Game,Wii,Action,Electronic Arts,0.45,0.47,0.0,0.11,1.03,Good,7.0,N,2007,11,8
171,Tomb Raider,PC,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,Amazing,9.1,Y,2013,2,25
172,Rock Band 2,Wii,Misc,MTV Games,0.94,0.01,0.0,0.08,1.03,Amazing,9.0,Y,2008,12,17
173,FIFA Soccer 08,Wii,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,Good,7.0,N,2007,11,1
174,Naruto: Clash of Ninja Revolution,Wii,Fighting,Tomy Corporation,0.45,0.46,0.0,0.11,1.02,Great,8.4,Y,2007,10,19
175,Guitar Hero: Warriors of Rock,Wii,Misc,Activision,0.48,0.44,0.0,0.09,1.01,Okay,6.0,N,2010,9,30
176,NERF N-Strike Elite,Wii,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0,Good,7.5,N,2009,11,3
177,NES Open Tournament Golf,NES,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,Good,7.5,N,2007,6,18
178,Band Hero,Wii,Misc,Activision,0.6,0.3,0.0,0.09,0.99,Great,8.3,N,2009,11,3
179,Scooby-Doo! First Frights,Wii,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0.0,0.07,0.99,Mediocre,5.0,N,2009,9,28
180,FIFA Soccer 10,Wii,Sports,Electronic Arts,0.23,0.65,0.0,0.11,0.99,Good,7.7,N,2009,10,19
181,Farming Simulator 2013,PC,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99,Good,7.1,N,2012,11,7
182,Fallout 3,PC,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99,Amazing,9.6,Y,2008,10,27
183,Far Cry 3,PC,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,Amazing,9.0,Y,2012,11,21
184,Xenoblade Chronicles,Wii,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98,Amazing,9.0,Y,2012,4,3
185,Grand Theft Auto: San Andreas,PC,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,Amazing,9.3,Y,2005,6,7
186,de Blob,Wii,Platform,THQ,0.5,0.37,0.0,0.1,0.97,Great,8.4,Y,2008,9,18
187,Mass Effect 3,PC,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97,Amazing,9.5,Y,2012,3,12
188,The Witcher 2: Assassins of Kings,PC,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96,Amazing,9.0,Y,2011,5,24
189,Cars 2,Wii,Racing,Disney Interactive Studios,0.46,0.39,0.0,0.1,0.95,Great,8.0,Y,2011,6,22
190,Guitar Hero: Metallica,Wii,Misc,Activision,0.41,0.43,0.0,0.1,0.95,Great,8.9,Y,2009,3,29
191,Wii Play: Motion,Wii,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95,Bad,4.0,N,2011,6,22
192,Cars,Wii,Racing,THQ,0.83,0.04,0.0,0.07,0.94,Okay,6.8,N,2006,11,27
193,Assassin's Creed III,PC,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94,Great,8.6,Y,2012,11,23
194,Borderlands 2,PC,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,Amazing,9.0,Y,2012,9,13
195,Sonic Riders: Zero Gravity,Wii,Racing,Sega,0.5,0.32,0.02,0.1,0.93,Mediocre,5.8,N,2008,1,14
196,Castlevania II: Simon's Quest,NES,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93,Good,7.0,N,2007,10,31
197,Kung Fu Panda,Wii,Action,Activision,0.5,0.32,0.0,0.09,0.92,Good,7.5,N,2008,6,10
198,Balloon Fight,NES,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,Okay,6.0,N,2007,7,20
199,We Ski & Snowboard,Wii,Sports,Atari,0.38,0.29,0.15,0.08,0.9,Mediocre,5.4,N,2009,3,4
200,The Elder Scrolls Online,PC,Role-Playing,Bethesda Softworks,0.32,0.48,0.0,0.09,0.9,Good,7.8,N,2014,3,31
201,FIFA Soccer 09 All-Play,Wii,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9,Good,7.2,N,2008,10,30
202,Madden NFL 08,Wii,Sports,Electronic Arts,0.82,0.01,0.0,0.07,0.89,Great,8.5,Y,2007,8,13
203,Call of Duty: Modern Warfare 2,PC,Shooter,Activision,0.01,0.79,0.0,0.09,0.89,Amazing,9.5,Y,2009,11,10
204,Call of Duty: Modern Warfare 3,Wii,Shooter,Activision,0.6,0.21,0.0,0.08,0.89,Bad,4.5,N,2011,11,14
205,Grand Theft Auto IV,PC,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88,Amazing,9.2,Y,2008,12,2
206,Ghostbusters: The Video Game,Wii,Action,Atari,0.6,0.21,0.0,0.08,0.88,Good,7.8,N,2009,6,12
207,Endless Ocean: Blue World,Wii,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88,Good,7.0,N,2010,2,22
208,Cooking Mama: World Kitchen,Wii,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88,Good,7.0,N,2008,11,21
209,The House of the Dead: Overkill,Wii,Shooter,Sega,0.46,0.31,0.02,0.09,0.87,Great,8.3,Y,2009,2,5
210,Madden NFL 09 All-Play,Wii,Sports,Electronic Arts,0.78,0.01,0.0,0.07,0.85,Great,8.6,Y,2008,8,8
211,Blazing Angels: Squadrons of WWII,Wii,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.85,Mediocre,5.7,N,2007,3,22
212,Castlevania III: Dracula's Curse,NES,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,Amazing,9.0,Y,2009,1,12
213,Harvest Moon: Tree of Tranquility,Wii,Simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84,Okay,6.5,N,2008,10,7
214,Final Fantasy,NES,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84,Great,8.5,Y,2009,10,5
215,WWE SmackDown vs. Raw 2009,Wii,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,Good,7.8,N,2008,11,10
216,Deca Sports 2,Wii,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82,Mediocre,5.3,N,2009,10,23
217,Ben 10: Alien Force,Wii,Action,Koch Media,0.52,0.21,0.0,0.07,0.81,Bad,4.0,N,2008,11,7
218,MadWorld,Wii,Action,Sega,0.46,0.25,0.02,0.07,0.8,Amazing,9.0,Y,2009,3,9
219,Star Wars: The Force Unleashed II,Wii,Action,LucasArts,0.54,0.19,0.0,0.06,0.8,Good,7.5,N,2010,11,3
