,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score_phrase,score,editors_choice,release_year,release_month,release_day
988,Pharaoh,PC,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02,Amazing,9.0,Y,1999,11,12
989,The Settlers: Rise of an Empire,PC,Strategy,Ubisoft,0.01,0.01,0.0,0.0,0.02,Okay,6.5,N,2007,10,1
990,Warhammer Online: Age of Reckoning,PC,Role-Playing,GOA,0.0,0.02,0.0,0.0,0.02,Amazing,9.0,Y,2008,10,9
991,LEGO Harry Potter: Years 1-4,PC,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.0,0.0,0.02,Great,8.5,Y,2010,6,29
992,Demigod,PC,Strategy,Atari,0.0,0.02,0.0,0.0,0.02,Good,7.5,N,2009,4,17
993,Star Trek Online,PC,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.02,Okay,6.8,N,2010,2,17
994,Tom Clancy's Rainbow Six: Vegas 2,PC,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02,Good,7.7,N,2008,4,21
995,George of the Jungle and the Search for the Secret,Wii,Platform,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02,Painful,2.9,N,2008,4,7
996,SimCity Societies,PC,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.02,Mediocre,5.8,N,2007,11,13
997,Brothers in Arms: Hell's Highway,PC,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02,Good,7.9,N,2008,10,7
998,Stronghold Crusader Extreme,PC,Strategy,Gamecock,0.0,0.02,0.0,0.0,0.02,Bad,4.8,N,2008,6,10
999,Cities XL 2011,PC,Simulation,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,Good,7.0,N,2010,11,16
1000,Kung Fu Panda,PC,Action,Activision,0.0,0.02,0.0,0.0,0.02,Good,7.4,N,2008,6,9
1001,Ceville,PC,Action,Kalypso Media,0.0,0.02,0.0,0.0,0.02,Amazing,9.0,Y,2009,3,27
1002,Cocoto Magic Circus,Wii,Shooter,Neko Entertainment,0.02,0.0,0.0,0.0,0.02,Mediocre,5.8,N,2008,3,26
1003,Line Rider 2: Unbound,Wii,Puzzle,Deep Silver,0.02,0.0,0.0,0.0,0.02,Good,7.8,N,2008,10,3
1004,Tom Clancy's EndWar,PC,Strategy,Ubisoft,0.0,0.02,0.0,0.0,0.02,Good,7.0,N,2009,3,3
1005,Left 4 Dead,PC,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02,Amazing,9.0,Y,2008,11,17
1006,Kawasaki Jet Ski,Wii,Racing,Metro 3D,0.02,0.0,0.0,0.0,0.02,Painful,2.0,N,2008,4,4
1007,Frontlines: Fuel of War,PC,Shooter,THQ,0.0,0.02,0.0,0.0,0.02,Good,7.8,N,2008,2,26
1008,Grey's Anatomy: The Video Game,PC,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02,Okay,6.0,N,2009,3,11
1009,Test Drive Unlimited,PC,Racing,Atari,0.0,0.02,0.0,0.0,0.02,Great,8.0,N,2007,4,3
1010,Ice Age: Dawn of the Dinosaurs,PC,Action,Activision,0.02,0.0,0.0,0.0,0.02,Okay,6.5,N,2009,7,8
1011,Homeworld,PC,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02,Amazing,9.5,Y,1999,10,1
1012,Max Payne,PC,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02,Amazing,9.3,Y,2001,7,27
1013,Overlord,PC,Strategy,Codemasters,0.0,0.02,0.0,0.0,0.02,Great,8.0,N,2007,7,9
1014,Sacred 3,PC,Role-Playing,Deep Silver,0.0,0.02,0.0,0.0,0.02,Okay,6.5,N,2014,8,5
1015,Rocket League,PC,Sports,505 Games,0.01,0.01,0.0,0.0,0.02,Great,8.0,N,2015,7,15
1016,Balls of Fury,Wii,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,Unbearable,1.2,N,2007,10,16
1017,Mount & Blade,PC,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.0,0.02,Great,8.0,N,2008,12,17
1018,Quake 4,PC,Shooter,Activision,0.0,0.02,0.0,0.0,0.02,Great,8.1,N,2005,10,13
1019,Fuel,PC,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02,Mediocre,5.1,N,2009,7,8
1020,Indigo Prophecy,PC,Adventure,Atari,0.0,0.02,0.0,0.0,0.02,Great,8.4,N,2005,9,20
1021,FIFA Soccer 09,PC,Sports,Electronic Arts,0.0,0.02,0.0,0.0,0.02,Good,7.2,N,2008,10,22
1022,So Blonde,PC,Adventure,Eidos Interactive,0.0,0.02,0.0,0.0,0.02,Okay,6.8,N,2008,10,13
1023,Legend: Hand of God,PC,Role-Playing,DTP Entertainment,0.0,0.02,0.0,0.0,0.02,Okay,6.0,N,2008,8,25
1024,Order of War,PC,Strategy,Square Enix,0.0,0.01,0.0,0.0,0.02,Great,8.0,N,2009,9,25
